id,package,NC,A,I,D
494,org.apache.hadoop.hdfs.server.datanode.web,5,0.0,0.2,0.8
495,org.apache.hadoop.hdfs.server.diskbalancer.datamodel,5,0.0,0.8947368421052632,0.10526315789473684
496,org.apache.hadoop.hdfs.server.federation,5,0.0,0.8,0.19999999999999996
497,org.apache.hadoop.hdfs.server.federation.store.impl,5,0.0,0.375,0.625
498,org.apache.hadoop.io.erasurecode.rawcoder.util,5,0.0,0.5454545454545454,0.4545454545454546
499,org.apache.hadoop.lib.service,5,0.8,0.7619047619047619,0.5619047619047619
500,org.apache.hadoop.mapred.jobcontrol,5,0.0,0.2857142857142857,0.7142857142857143
501,org.apache.hadoop.mapred.nativetask.combinertest,5,0.0,0.0,1.0
502,org.apache.hadoop.mapred.nativetask.kvtest,5,0.0,0.5,0.5
503,org.apache.hadoop.mapred.uploader,5,0.0,0.0,1.0
504,org.apache.hadoop.mapreduce.security.token.delegation,5,0.0,0.5,0.5
505,org.apache.hadoop.metrics2.filter,5,0.2,0.16666666666666666,0.6333333333333333
506,org.apache.hadoop.net.unix,5,0.0,0.8918918918918919,0.10810810810810811
507,org.apache.hadoop.ozone.container.common.transport.server.ratis,5,0.0,0.3333333333333333,0.6666666666666667
508,org.apache.hadoop.ozone.s3.commontypes,5,0.0,1.0,0.0
509,org.apache.hadoop.ozone.s3.exception,5,0.0,0.9,0.09999999999999998
510,org.apache.hadoop.registry.secure,5,0.0,0.16666666666666666,0.8333333333333334
511,org.apache.hadoop.resourceestimator.solver.impl,5,0.4,0.2,0.3999999999999999
512,org.apache.hadoop.resourceestimator.translator.api,5,0.4,0.6923076923076923,0.09230769230769242
513,org.apache.hadoop.tools.mapred.lib,5,0.0,0.0,1.0
514,org.apache.hadoop.util.curator,5,0.0,0.5454545454545454,0.4545454545454546
515,org.apache.hadoop.yarn.client.api.async.impl,5,0.0,0.4444444444444444,0.5555555555555556
516,org.apache.hadoop.yarn.factories,5,0.6,0.9699248120300752,0.5699248120300751
517,org.apache.hadoop.yarn.ipc,5,0.2,0.945054945054945,0.14505494505494498
